Name,Url,Race
"Aerandir","http://lotr.wikia.com//wiki/Aerandir",NotFound
"Agathor","http://lotr.wikia.com//wiki/Agathor",NotFound
"Aghan","http://lotr.wikia.com//wiki/Aghan",NotFound
"Alatar","http://lotr.wikia.com//wiki/Alatar",NotFound
"Amlach","http://lotr.wikia.com//wiki/Amlach",NotFound
"Amnon","http://lotr.wikia.com//wiki/Amnon",NotFound
"Ancalagon","http://lotr.wikia.com//wiki/Ancalagon",NotFound
"Andvír","http://lotr.wikia.com//wiki/Andv%C3%ADr",NotFound
"Angelimar","http://lotr.wikia.com//wiki/Angelimar",NotFound
"Angrim","http://lotr.wikia.com//wiki/Angrim",NotFound
"Arien","http://lotr.wikia.com//wiki/Arien",NotFound
"Artamir","http://lotr.wikia.com//wiki/Artamir",NotFound
"Asgon","http://lotr.wikia.com//wiki/Asgon",NotFound
"Aulë","http://lotr.wikia.com//wiki/Aul%C3%AB",NotFound
"Azog","http://lotr.wikia.com//wiki/Azog",NotFound
"Bingo Baggins","http://lotr.wikia.com//wiki/Bingo_Baggins",NotFound
"Chica (Chubb) Baggins","http://lotr.wikia.com//wiki/Chica_(Chubb)_Baggins",NotFound
"Dora Baggins","http://lotr.wikia.com//wiki/Dora_Baggins",NotFound
"Largo Baggins","http://lotr.wikia.com//wiki/Largo_Baggins",NotFound
"Mimosa (Bunce) Baggins","http://lotr.wikia.com//wiki/Mimosa_(Bunce)_Baggins",NotFound
"Pansy Baggins","http://lotr.wikia.com//wiki/Pansy_Baggins",NotFound
"Polo Baggins","http://lotr.wikia.com//wiki/Polo_Baggins",NotFound
"Ponto Baggins I","http://lotr.wikia.com//wiki/Ponto_Baggins_I",NotFound
"Ruby (Bolger) Baggins","http://lotr.wikia.com//wiki/Ruby_(Bolger)_Baggins",NotFound
"Balcmeg","http://lotr.wikia.com//wiki/Balcmeg",NotFound
"Baldor","http://lotr.wikia.com//wiki/Baldor",NotFound
"Barahir (Fourth Age)","http://lotr.wikia.com//wiki/Barahir_(Fourth_Age)",NotFound
"Beechbone","http://lotr.wikia.com//wiki/Beechbone",NotFound
"Beleg","http://lotr.wikia.com//wiki/Beleg",NotFound
"Berúthiel","http://lotr.wikia.com//wiki/Ber%C3%BAthiel",NotFound
"Bilbo Gardner","http://lotr.wikia.com//wiki/Bilbo_Gardner",NotFound
"Bodruith","http://lotr.wikia.com//wiki/Bodruith",NotFound
"Briffo Boffin","http://lotr.wikia.com//wiki/Briffo_Boffin",NotFound
"Gruffo Boffin","http://lotr.wikia.com//wiki/Gruffo_Boffin",NotFound
"Lavender (Grubb) Boffin","http://lotr.wikia.com//wiki/Lavender_(Grubb)_Boffin",NotFound
"Uffo Boffin","http://lotr.wikia.com//wiki/Uffo_Boffin",NotFound
"Boldog (Character)","http://lotr.wikia.com//wiki/Boldog_(Character)",NotFound
"Bolg","http://lotr.wikia.com//wiki/Bolg",NotFound
"Adalgar Bolger","http://lotr.wikia.com//wiki/Adalgar_Bolger",NotFound
"Gundahar Bolger","http://lotr.wikia.com//wiki/Gundahar_Bolger",NotFound
"Prisca (Baggins) Bolger","http://lotr.wikia.com//wiki/Prisca_(Baggins)_Bolger",NotFound
"Rudibert Bolger","http://lotr.wikia.com//wiki/Rudibert_Bolger",NotFound
"Theobald Bolger","http://lotr.wikia.com//wiki/Theobald_Bolger",NotFound
"Wilimar Bolger","http://lotr.wikia.com//wiki/Wilimar_Bolger",NotFound
"Tom Bombadil","http://lotr.wikia.com//wiki/Tom_Bombadil",NotFound
"Aerandir","http://lotr.wikia.com//wiki/Aerandir",NotFound
"Agathor","http://lotr.wikia.com//wiki/Agathor",NotFound
"Aghan","http://lotr.wikia.com//wiki/Aghan",NotFound
"Alatar","http://lotr.wikia.com//wiki/Alatar",NotFound
"Amlach","http://lotr.wikia.com//wiki/Amlach",NotFound
"Amnon","http://lotr.wikia.com//wiki/Amnon",NotFound
"Ancalagon","http://lotr.wikia.com//wiki/Ancalagon",NotFound
"Andvír","http://lotr.wikia.com//wiki/Andv%C3%ADr",NotFound
"Angelimar","http://lotr.wikia.com//wiki/Angelimar",NotFound
